8.4628,-38.173,1769
7.965,-35.928,1749
7.4672,-33.682,1749
6.9694,-31.437,1758
6.4715,-29.191,1750
5.9737,-26.946,1745
5.4759,-24.7,1750
4.9781,-22.455,1753
4.4803,-20.209,1734
3.9825,-17.964,1710
3.463,-15.621,1711
2.9652,-13.375,1709
2.4674,-11.13,1674
1.9696,-8.8843,1665
1.4718,-6.6388,1680
0.97398,-4.3933,1648
0.47617,-2.1479,1626
-0.021644,0.09763,1581
-0.51946,2.3431,1602
-1.0173,4.5886,1558
-1.5151,6.8341,1538
-2.0129,9.0796,1506
-2.5107,11.325,1521
-3.0085,13.571,1498
-3.528,15.914,1501
-4.0258,18.159,1491
-4.5236,20.405,1481
-5.0214,22.65,1468
-5.5192,24.896,1455
-6.017,27.141,1454
-6.5148,29.387,1456
-7.0126,31.632,1459
-7.5105,33.877,1451
-8.0083,36.123,1465
-8.5061,38.368,1451
-9.5017,42.859,1486
-11.017,49.693,1433
27.824,6.1685,1631
21.088,4.6751,1618
18.843,4.1773,1607
16.597,3.6795,1608
14.352,3.1817,1601
12.106,2.6839,1603
9.8606,2.186,1612
7.6151,1.6882,1607
5.272,1.1688,1618
3.0265,0.67096,1649
0.78104,0.17315,1595
-1.4644,-0.32466,1580
-3.7099,-0.82247,1574
-5.9554,-1.3203,1574
-8.2009,-1.8181,1559
-10.446,-2.3159,1578
-12.692,-2.8137,1591
-14.937,-3.3115,1579
-17.183,-3.8093,1588
-19.428,-4.3071,1581
-21.674,-4.805,1569
-23.919,-5.3028,1572
-26.262,-5.8222,1584
-28.508,-6.32,1565
23.87,-25.597,1718
22.301,-23.915,1711
20.733,-22.233,1710
19.164,-20.551,1715
17.596,-18.869,1713
16.027,-17.187,1717
14.39,-15.432,1715
12.822,-13.749,1712
11.253,-12.067,1710
9.6844,-10.385,1692
8.1158,-8.7031,1669
6.5472,-7.021,1679
4.9786,-5.3389,1691
3.41,-3.6568,1647
1.8414,-1.9747,1630
0.2728,-0.29254,1616
-1.2958,1.3896,1576
-2.8644,3.0717,1561
-4.433,4.7538,1558
-6.0016,6.4359,1538
-7.6384,8.1912,1525
-9.207,9.8733,1509
-10.776,11.555,1501
-12.344,13.238,1494
-13.913,14.92,1489
-15.481,16.602,1493
-17.05,18.284,1487
-18.619,19.966,1495
-20.187,21.648,1511
-21.756,23.33,1505
-23.324,25.012,1508
-24.893,26.694,1507
-26.462,28.377,1513
-28.03,30.059,1493
-29.667,31.814,1495
18.42,-47.986,1736
17.596,-45.839,1744
16.772,-43.692,1765
15.947,-41.544,1766
14.263,-37.157,1764
13.439,-35.009,1715
12.615,-32.862,1751
11.79,-30.715,1761
10.966,-28.568,1763
10.142,-26.42,1758
9.3176,-24.273,1743
8.4933,-22.126,1738
7.6691,-19.979,1732
6.8448,-17.831,1734
6.0206,-15.684,1723
5.1963,-13.537,1706
4.3721,-11.39,1665
3.5478,-9.2424,1677
2.6878,-7.0019,1679
1.8635,-4.8546,1601
1.0393,-2.7074,1629
0.21502,-0.56015,1621
-0.60923,1.5871,1574
-1.4335,3.7343,1559
-2.2577,5.8816,1540
-3.082,8.0288,1525
-3.9062,10.176,1517
-4.7305,12.323,1506
-5.5547,14.47,1481
-6.3789,16.618,1465
-7.2032,18.765,1468
-8.0274,20.912,1465
-8.8875,23.153,1454
-9.7118,25.3,1448
-10.536,27.447,1441
-11.36,29.594,1441
-12.185,31.742,1430
-13.009,33.889,1434
-13.833,36.036,1445
-14.657,38.183,1464
-15.481,40.331,1471
-16.306,42.478,1442
-17.13,44.625,1436
-17.954,46.772,1434
-18.778,48.92,1428
25.89,24.143,1558
24.208,22.574,1563
22.453,20.937,1581
20.844,19.437,1548
19.161,17.868,1572
17.479,16.3,1574
15.797,14.731,1578
14.115,13.163,1576
12.433,11.594,1583
10.751,10.025,1584
9.0688,8.4568,1566
7.3135,6.82,1568
5.7046,5.3196,1577
3.9493,3.6828,1587
2.1941,2.046,1606
0.51195,0.4774,1593
-1.097,-1.023,1584
-2.7791,-2.5916,1595
-4.4613,-4.1602,1617
-6.0702,-5.6606,1552
-7.8255,-7.2974,1597
-9.5076,-8.866,1615
-11.19,-10.435,1626
-12.872,-12.003,1626
-14.554,-13.572,1586
-16.236,-15.14,1624
-23.111,-21.551,1600
-24.72,-23.052,1585
1.976,-45.257,1738
1.7753,-40.661,1690
1.675,-38.363,1729
1.5747,-36.066,1719
1.4743,-33.768,1702
1.374,-31.47,1754
1.2737,-29.172,1741
1.1734,-26.874,1736
1.073,-24.577,1731
0.97271,-22.279,1725
0.87239,-19.981,1710
0.7677,-17.583,1673
0.66738,-15.285,1669
